<mfield>
  <description name="halbach_16ring_4col_field_map" factory="ASCII" comment="halbach_16ring_4col_field_map"/>
       <symmetry type="cartesian_3D" format="map" integration="ClassicalRK4" minStep="0.01*mm"/>
       <map>
               <coordinate>
                       <first  name="X" npoints="39" min="-70.929" max="70.929" units="mm"/>
                       <second name="Y" npoints="2" min="-71" max="71" units="mm"/>
                       <third name="Z" npoints="2" min="0" max="381" units="mm"/>
               </coordinate>
               <field unit="gauss"/>
               <interpolation type="linear"/>
               <shift z="0" units="cm"/>
       </map>
</mfield>
55.9966	71.000  381.00	2809.0878	0.0000	0.0000
59.7297	-71.00  0.0000	2969.3885	0.0000	0.0000
59.7297	-71.00  381.00	2969.3885	0.0000	0.0000
59.7297	71.000  0.0000	2969.3885	0.0000	0.0000
59.7297	71.000  381.00	2969.3885	0.0000	0.0000
63.4628	-71.00  0.0000	3153.5288	0.0000	0.0000
63.4628	-71.00  381.00	3153.5288	0.0000	0.0000
63.4628	71.000  0.0000	3153.5288	0.0000	0.0000
63.4628	71.000  381.00	3153.5288	0.0000	0.0000
67.1959	-71.00  0.0000	3363.8778	0.0000	0.0000
67.1959	-71.00  381.00	3363.8778	0.0000	0.0000
67.1959	71.000  0.0000	3363.8778	0.0000	0.0000
67.1959	71.000  381.00	3363.8778	0.0000	0.0000
70.9290	-71.00  0.0000	3601.6357	0.0000	0.0000
70.9290	-71.00  381.00	3601.6357	0.0000	0.0000
70.9290	71.000  0.0000	3601.6357	0.0000	0.0000
70.9290	71.000  381.00	3601.6357	0.0000	0.0000
